org_nr,bolagsnamn,ort,elzon,tier,poang,vd_namn,epost,telefon,webb,anstallda,omsattning_kkr,marken,partner_niva,kalla,pitch_vinkel,anteckning
,Installationgruppen Bohuslän,Uddevalla,SE3,B,,Anders Anders Erik Valter Karlsson,info@instgruppen.se,0104520840,https://www.bad-varme.se/ort/uddevalla/,43,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Idala Rörtjänst,Veberöd,SE3,B,,Patrik Patrik Sven Åke Andersson,info@idalaror.se,04650098,https://www.bad-varme.se/ort/veberod/,9,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Gnosjö Rörledningsaffär,Gnosjö,SE3,B,,Erik Erik Anders Sveningsson,info@gnosjoror.se,0370332290,https://www.bad-varme.se/ort/gnosjo/,22,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,ManTor,Jönköping,SE3,B,,Martin Martin Vincent Schildt,info@mantor.se,0103300560,https://www.bad-varme.se/ort/jonkoping/,18,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,NM Rör AB,Norrtälje,SE3,B,,Lennart Lennart Niklas Ragnarsson,info@nmror.se,0176224700,https://www.bad-varme.se/ort/norrtalje/,18,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Forsmans VVS,Skogås,SE3,B,,Fredrik Fredrik King Richard L Forsman,order@forsmansvvs.se,087708500,https://www.bad-varme.se/ort/vendelso/,31,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Bad & Värme Tingsryd,Tingsryd,SE3,B,,Ulf Ulf Anders Vilhelm Sjöström,tingsryd@bad-varme.se,047713050,https://www.bad-varme.se/ort/tingsryd/,16,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Nya Rörbolaget,Västerås,SE3,B,,Clas-Göran Clas-Göran Israelsson,vasteras@bad-varme.se,021380430,https://www.bad-varme.se/ort/vasteras/,20,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Djupedals Rör Kvänum,Kvänum,SE3,B,,Johan Johan Niklas Efraimsson,info@djupedalsror.se,051292100,https://www.bad-varme.se/ort/kvanum-djupedal/,132,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Radiator VVS,Ludvika,SE3,B,,Andreas Andreas Lars Erik Bogren,ludvika@bad-varme.se,024013565,https://www.bad-varme.se/ort/ludvika/,470,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,RSAB Rörservice,Arvika,SE3,B,,Stefan Stefan Joachim Per-Håkan Nordin,info@rs-ab.com,057080803,https://www.bad-varme.se/ort/arvika/,7,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Ekenäs Rör AB,Ekenässjön,SE3,B,,Klas Klas Fredrik Liljegren,info@ekenasror.se,038334780,https://www.bad-varme.se/ort/vetlanda/,7,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Rörfixarna i Hjo,Hjo,SE3,B,,Stefan Stefan Gunnar Joakim Alexandersson,hjo@bad-varme.se,050312222,https://www.bad-varme.se/ort/hjo/,15,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Söders Olja & Rör,Rottne,SE3,B,,Niklas Niklas Magnus Johansson,niklas@sodersror.se,047092550,https://www.bad-varme.se/ort/rottne/,14,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Rörfixarna i Hjo AB,Tibro,SE3,B,,Stefan Stefan Gunnar Joakim Alexandersson,tibro@bad-varme.se,050412988,https://www.bad-varme.se/ort/tibro/,15,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Janne Carlson Rör,Vålberg/Karlstad,SE3,B,,Hans Hans Erik Karlsson,herman.karlsson@nor-schakt.se,054547180,https://www.bad-varme.se/ort/karlstad-jc/,9,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Bad & Värme Årjäng,Årjäng,SE3,B,,Henrik Henrik Torbjörn Hedefur,henrik@kakelbutikenab.se,057310003,https://www.bad-varme.se/ort/arjang/,14,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,TermoRör,Botkyrka/Tumba,SE3,B,,Kent Kent Magnus Johansson,service@termoror.se,0851819010,https://www.bad-varme.se/ort/tumba/,23,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Bad & Värme i Norrköping/Kolmården,Norrköping/Kolmården,SE3,B,,Martin Martin Karl Bernhard Calderon,order@hertzmansvvs.se,01169663,https://www.bad-varme.se/ort/norrkoping-kolmarden/,22,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Enwell AB (Dalarna),Falun / Mora,SE2,B,8,Michael Gozzi,dalarna@enwell.se,02328341,,,,"IVT, NIBE",IVT Center,Enwell,SE2-zon ger lägre elprisargument — pitcha på solsurplus + komfort,Enwell-kedja (Vattenfall). Centralt avtal rekommenderas.
556998-4395,BorrEnergi Sweden AB,Ludvika,SE2,B,7,ej hittat,info@borrenergi.se,024080900,borrenergi.se,7,7900,Bosch,Bosch Climate Partner,Bosch,19,
556908-1341,Malms Rör i Sundsvall AB,Sundsvall,SE2,B,7,Stefan Malm,stefan@malmsror.se,0702788588,,4,9688,Bosch,Bosch Climate Partner,Bosch,21,
556881-6747,Blombergs VVS AB,Östersund,SE2,B,6,ej hittat,blomberg70@hotmail.com,ejhittat,blombergsvvs.nu,1,2098,Bosch,Bosch Climate Partner,Bosch,20,
,A. Wiklund Vvs,Stugun,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,A.J.Ws Lift,Rorteknik Ab  Sundsvall,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Ake Lindkvist Ror Ab,Mora,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Alno Vvs Ab,Alno,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Andersson Jan Olof Peter,Gallo,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Are Rorteam Ab,Undersaker,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Bergvarme Ab,Timra,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Bgs Kyl,Varmeservice Ab  Matfors,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Borlange Vvs Ab,Borlange,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Bruksvallens Ror Ab,Bruksvallarna,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Dala Ror Ab,Falun,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Dalarnas Ror Ab,Avesta,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Daldala Ab,Ljusnarsberg,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Dalmarken Ror Ab,Rattvik,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Djupa Ror Ab,Djuras,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Elite Energi Ab,Sundsvall,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Expert Rad Vvs Ab,Gavle,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Fagerlids Vvs Ab,Leksand,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Falun Varme Ab,Falun,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Faluns Rorservice Ab,Falun,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Frosunda Ror Ab,Harnosand,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Gavle Ror Ab,Gavle,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Hedemoras Ror Ab,Hedemora,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Helgums Ror,Ventilation Ab  Helgum,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Hogbergs Ror,Ventilation Ab  Leksand,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Hogstens Rorservice Ab,Hogsten,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Hohanssons Ror Ab,Fagersta,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Hosjo Ror Ab,Ostersund,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Hudiksvalls Rorservice Ab,Hudiksvall,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Indals Vvs Ab,Indal,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,J E Rorinstallationer Ab,Soderhamn,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,J J Rorservice Ab,Ockelbo,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Larssons Vvs Ab,Nusnas,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Ljusne Ror Ab,Ljusne,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Malungs Ror Ab,Malung,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Masen Ror Ab,Ornskoldsvik,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Melander Ror Ab,Borlange,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Morkoms Vvs Ab,Sveg,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Granens Ror Ab,Ornskoldsvik,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner John Eklund Borrning Ab,Ornskoldsvik,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Lindgrens Ror Ab,Kramfors,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Nordkust Ror Och Vvs Ab,Sundsvall,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Sandsvikens Ror Ab,Sandviken,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Vasternorrlands Bergvarmepumpar Ab,Harnosand,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Vattenfall Heat Pump Service Ab,Borlange,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nibe Partner Vattenfall Heat Pump Service Ab,Falun,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Nordvik Vvs Ab,Harnosand,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Norra Dalarnas Ror Ab,Orsa,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Orsa Ror Ab,Orsa,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Rattviks Ror Ab,Rattvik,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Ror Service Dala Ab,Sala,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Rorstrom Ab,Borlange,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Sala Rorservice Ab,Sala,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Sandvikens Ror Ab,Sandviken,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Soderbloms Ror Ab,Gavle,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Sorens Ror,Stode,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Stenstans Varme,Sanitet  Sundsvall,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Stora Skedvi Ror Ab,Stora Skedvi,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Tinbak Ab,Hammerdal,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Vattenhuset Ab,Borlange,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Vvs Installatoren I Gavle Ab,Gavle,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Vvs Teknik I Jamtland Ab,Stenstavik,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Vvs Tjanst I Falun Ab,Falun,SE2,B,4,,,,,,,NIBE,installator,NIBE,,
,Rex Rör & Värmepumpsteknik AB,Sundsvall,SE2,B,4,,,060554700,,,,IVT,IVT Center,IVT,SE2 + IVT Center; No1 service,
,Värmepumpcenter i Gävle AB,Gävle,SE2,B,4,,,026142901,,,,IVT,IVT Center,IVT,SE2 + IVT Center,
,IVT Center/Falun,Falun,SE2,B,4,,,02328341,,,,IVT,IVT Center,IVT,SE2 + IVT Center,
,Eklunds Mora,Mora,SE2,B,,Anders Anders Stefan Eklund,info@eklundsmora.se,0250–585000,https://www.bad-varme.se/ort/mora/,37,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Bryngels,Sundsvall,SE2,B,,Per Per Mattias Norberg,vvs.sundsvall@bryngels.se,060668855,https://www.bad-varme.se/ort/sundsvall/,25,,Bad & Värme,Bad & Värme,Bad & Värme,aukt. VP-märke,
,Installationsgruppen,Malung,SE2,B,,Anders Anders Erik Valter Karlsson,badovarme@installationsgruppen.com,028013075,https://www.bad-varme.se/ort/malung/,43,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Söderbloms Rör,Gävle,SE2,B,,Johan Johan Patrik Karlsson,info@soderblomsror.se,026601010,https://www.bad-varme.se/ort/gavle/,16,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
,Bryngels,Hudiksvall,SE2,B,,Per Per Mattias Norberg,vvs.hudiksvall@bryngels.se,065010790,https://www.bad-varme.se/ort/hudiksvall/,25,,Bad & Värme,Bad & Värme,Bad & Värme,VVS/värme,
556891-0961,Hortlax Rör AB,Piteå,SE1,B,6,Johan Eriksson,ej hittat,ejhittat,,6,10463,Bosch,Bosch Climate Partner,Bosch,22,
,Dalarnas VVS & Värmeteknik AB,Ludvika,SE2,C,3,,Info@dvvab.se,+46240406021,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE2; Dalarna; lägre prioritet
,Värme & Kylteknik i Jämtland AB,Östersund,SE2,C,3,,info@varmekyl.se,+466321271,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE2; Östersund
,Gustafssons Rör i Sundsvall AB,Umeå,SE1,C,2,,,,,,,IVT,Standard,IVT,SE1; låg prioritet,
,Jäders Värme i Umeå,Umeå,SE1,C,2,,,,,,,IVT,Standard,IVT,SE1,
,Norrlandsexperten,Umeå,SE1,C,2,,,,,,,IVT,Standard,IVT,SE1,
,Umeå Tvätt & Värmepumpsservice AB,Umeå,SE1,C,2,,,,,,,IVT,Standard,IVT,SE1,
,Teknisk Fastighetsservice Umeå,Umeå,SE1,C,2,,info@tfservice.se,090122600,,,,Daikin,Auktoriserad Daikin,Daikin,,SE1; Umeå; luft/vatten + berg men låg elzonavkastning
,Kiruna Kyla & Värme AB,Kiruna,SE1,C,2,,erik.nygren@kkvab.se,+4698016080,,,,Mitsubishi,Auktoriserad ME,Mitsubishi,,SE1; Kiruna; lägst prioritet
